,token,pos,lemma_gold,lemma_pred
344,Ausschluss,NOUN,Ausschluß,Ausschluss
347,Bis,ADP,bis,Bis
350,gab,VERB,geben,gab
354,Ausbildungsverträge,NOUN,Vertrag,Ausbildungsverträge
358,Medienberufen,NOUN,Beruf,Medienberufen
362,Ausbildungen,NOUN,Ausbildung,Ausbildungen
363,wurden,AUX,werden,wurden
365,beendet,VERB,beenden,beendet
368,waren,AUX,sein,waren
372,Erstsemester,NOUN,Semester,Erstsemester
375,Wintersemester,NOUN,Semester,Wintersemester
380,Ein,DET,ein,Ein
381,Umsatzrückgang,NOUN,Rückgang,Umsatzrückgang
389,Entlassungen,NOUN,Entlassung,Entlassungen
392,Mitarbeitern,NOUN,Mitarbeiter,Mitarbeitern
394,Für,ADP,für,Für
397,geht,VERB,gehen,geht
403,Geschäftsjahres,NOUN,Geschäftsjahr,Geschäftsjahres
405,eigenen,ADJ,eigen,eigenen
406,Voraussagen,NOUN,Voraussage,Voraussagen
415,Tunnels,NOUN,Tunnel,Tunnels
416,erwartet,VERB,erwarten,erwartet
418,kalifornische,ADJ,kalifornisch,kalifornische
421,Server-Unternehmen,NOUN,Unternehmen,Server-Unternehmen
427,Jahres,NOUN,Jahr,Jahres
429,Die,DET,die,Die
434,Personalabbau,NOUN,Abbau,Personalabbau
435,wird,AUX,werden,wird
441,deutschen,ADJ,deutsch,deutschen
448,Derzeit,ADV,derzeit,Derzeit
449,prüfe,VERB,prüfen,prüfe
454,einzelnen,ADJ,einzeln,einzelnen
455,Geschäftsbereiche,NOUN,Bereich,Geschäftsbereiche
456,verschlankt,VERB,verschlanken,verschlankt
460,Der,DET,der,Der
462,erwartete,ADJ,erwarten,erwartete
466,Milliarden,NOUN,Milliarde,Milliarden
467,US-Dollar,NOUN,Dollar,US-Dollar
468,bedeutet,VERB,bedeuten,bedeutet
471,vorigen,ADJ,vorig,vorigen
479,Nach,ADP,nach,Nach
481,Angriffen,NOUN,Angriff,Angriffen
482,US-amerikanischer,ADJ,amerikanisch,US-amerikanischer
484,britischer,ADJ,britisch,britischer
485,Streitkräfte,NOUN,Streitkraft,Streitkräfte
487,Stellungen,NOUN,Stellung,Stellungen
498,einige,DET,einig,einige
499,Analysten,NOUN,Analyst,Analysten
502,verbesserten,ADJ,verbessern,verbesserten
506,US-amerikanische,ADJ,amerikanisch,US-amerikanische
509,Die,DET,die,Die
513,Märkten,NOUN,Markt,Märkten
522,Terrorattacken,NOUN,Attacke,Terrorattacken
526,Wochen,NOUN,Woche,Wochen
527,herrscht,VERB,herrschen,herrscht
529,könnte,AUX,können,könnte
532,beendet,VERB,beenden,beendet
535,Andere,ADJ,ander,Andere
536,Analysten,NOUN,Analyst,Analysten
542,patriotischen,ADJ,patriotisch,patriotischen
547,Kurse,NOUN,Kurs,Kurse
551,dürfte,AUX,dürfen,dürfte
555,kurzer,ADJ,kurz,kurzer
559,neuen,ADJ,neu,neuen
560,Unsicherheiten,NOUN,Sicherheit,Unsicherheiten
563,Der,DET,der,Der
564,südkoreanische,ADJ,südkoreanisch,südkoreanische
565,Wirtschaftsexperte,NOUN,Experte,Wirtschaftsexperte
568,meinte,VERB,meinen,meinte
578,Angriffe,NOUN,Angriff,Angriffe
579,dauerten,VERB,dauern,dauerten
583,würde,AUX,werden,würde
588,US-amerikanischen,ADJ,amerikanisch,US-amerikanischen
592,Am,ADP,am,Am
601,flogen,VERB,fliegen,flogen
602,US-amerikanische,ADJ,amerikanisch,US-amerikanische
604,britische,ADJ,britisch,britische
605,Kampfflugzeuge,NOUN,Flugzeug,Kampfflugzeuge
607,Marschflugkörper,NOUN,Körper,Marschflugkörper
608,erste,ADJ,NULL,erste
609,Angriffe,NOUN,Angriff,Angriffe
612,afghanischen,ADJ,afghanisch,afghanischen
613,Städte,NOUN,Stadt,Städte
618,Dschalalabad,NOUN,unknown,Dschalalabad
620,Bundeskanzler,NOUN,Kanzler,Bundeskanzler
623,sagte,VERB,sagen,sagte
624,vorbehaltlose,ADJ,vorbehaltlos,vorbehaltlose
631,rief,VERB,rufen,rief
635,vorbereiteten,ADJ,vorbereiten,vorbereiteten
639,Angriffen,NOUN,Angriff,Angriffen
642,Heiligen,ADJ,heilig,Heiligen
649,kündigten,VERB,kündigen,kündigten
653,werde,AUX,werden,werde
656,ebenso,ADV,so,ebenso
660,russischen,ADJ,russisch,russischen
661,Invasionstruppen,NOUN,Truppe,Invasionstruppen
664,Bei,ADP,bei,Bei
666,Luftangriffen,NOUN,Luftangriff,Luftangriffen
676,sind,AUX,sein,sind
678,Angaben,NOUN,Angabe,Angaben
680,Taliban-Regimes,NOUN,Regime,Taliban-Regimes
683,Zivilisten,NOUN,Zivilist,Zivilisten
684,getötet,VERB,töten,getötet
685,worden,AUX,werden,worden
687,Der,DET,der,Der
688,Deutsche,ADJ,deutsch,Deutsche
689,Aktienindex,NOUN,Index,Aktienindex
694,gaben,VERB,geben,gaben
700,Der,DET,der,Der
702,fiel,VERB,fallen,fiel
710,Punkte,NOUN,Punkt,Punkte
721,Punkte,NOUN,Punkt,Punkte
723,Die,DET,die,Die
726,Kurse,NOUN,Kurs,Kurse
731,erneuten,ADJ,erneuen,erneuten
733,gewertet,VERB,werten,gewertet
735,Auch,ADV,auch,Auch
738,asiatischen,ADJ,asiatisch,asiatischen
739,Börsen,NOUN,Börse,Börsen
740,gab,VERB,geben,gab
742,Kurseinbußen,NOUN,Einbuße,Kurseinbußen
744,Die,DET,die,Die
745,internationalen,ADJ,international,internationalen
746,Finanzmärkte,NOUN,Markt,Finanzmärkte
747,reagierten,VERB,reagieren,reagierten
753,Dollar-Kursen,NOUN,Kurs,Dollar-Kursen
757,Notierungen,NOUN,Notierung,Notierungen
763,Anleihen,NOUN,Anleihe,Anleihen
766,Militärschläge,NOUN,Schlag,Militärschläge
768,schreibt,VERB,schreiben,schreibt
774,Zum,ADP,zum,Zum
777,Handels,NOUN,Handel,Handels
780,US-Börsen,NOUN,Börse,US-Börsen
781,zeigten,VERB,zeigen,zeigten
784,Kurse,NOUN,Kurs,Kurse
787,Der,DET,der,Der
791,stieg,VERB,steigen,stieg
795,deutscher,ADJ,deutsch,deutscher
810,konnte,AUX,können,konnte
815,gab,VERB,geben,gab
821,Einige,DET,einig,Einige
822,Mitglieder,NOUN,Mitglied,Mitglieder
824,US-Kongress,NOUN,Kongreß,US-Kongress
832,Reformen,NOUN,Reform,Reformen
835,Sie,PRON,sie,Sie
837,kürzere,ADJ,kurz,kürzere
838,Abschreibungsfristen,NOUN,Frist,Abschreibungsfristen
842,andere,ADJ,ander,andere
843,technische,ADJ,technisch,technische
844,Ausrüstungen,NOUN,Ausrüstung,Ausrüstungen
846,Derzeit,ADV,derzeit,Derzeit
849,Geräte,NOUN,Gerät,Geräte
852,Jahren,NOUN,Jahr,Jahren
853,abgeschrieben,VERB,abschreiben,abgeschrieben
856,Das,DET,das,Das
858,wurde,AUX,werden,wurde
860,letzten,ADJ,letzte,letzten
863,überarbeitet,VERB,überarbeiten,überarbeitet
865,Einige,DET,einig,Einige
866,US-amerikanische,ADJ,amerikanisch,US-amerikanische
867,IT-Unternehmen,NOUN,Unternehmen,IT-Unternehmen
875,hatten,AUX,haben,hatten
878,letzten,ADJ,letzte,letzten
879,Tagen,NOUN,Tag,Tagen
880,ihre,PRON,sein,ihre
881,Gewinnerwartungen,NOUN,Erwartung,Gewinnerwartungen
884,laufende,ADJ,laufen,laufende
888,korrigiert,VERB,korrigieren,korrigiert
890,Sie,PRON,sie,Sie
891,begründeten,VERB,begründen,begründeten
895,anderem,PRON,ander,anderem
898,Umsatzrückgang,NOUN,Rückgang,Umsatzrückgang
901,Attentaten,NOUN,Attentat,Attentaten
906,Zu,ADP,zu,Zu
908,Militärschlägen,NOUN,Schlag,Militärschlägen
915,siehe,VERB,sehen,siehe
918,Berichterstattung,NOUN,Erstattung,Berichterstattung
922,Altlasten,NOUN,Altlast,Altlasten
930,Eine,DET,eine,Eine
938,sind,AUX,sein,sind
939,Befürchtungen,NOUN,Befürchtung,Befürchtungen
944,fällige,ADJ,fällig,fällige
952,Aktienanteilen,NOUN,Anteil,Aktienanteilen
960,Milliarden,NOUN,Milliarde,Milliarden
961,US-Dollar,NOUN,Dollar,US-Dollar
962,muss,AUX,müssen,muss
968,deutschen,ADJ,deutsch,deutschen
969,Medienkonzern,NOUN,Konzern,Medienkonzern
972,Nach,ADP,nach,Nach
979,entspricht,VERB,entsprechen,entspricht
980,diese,DET,dies,diese
984,gesamten,ADJ,gesamt,gesamten
992,Analysten,NOUN,Analyst,Analysten
997,vorigen,ADJ,vorig,vorigen
998,Jahres,NOUN,Jahr,Jahres
999,hatten,AUX,haben,hatten
1002,beiden,ADJ,beide,beiden
1003,Konzerne,NOUN,Konzern,Konzerne
1012,geeinigt,VERB,einigen,geeinigt
1016,Geschäfts,NOUN,Geschäft,Geschäfts
1017,ist,AUX,sein,ist
1021,Anteilen,NOUN,Anteil,Anteilen
1032,Milliarden,NOUN,Milliarde,Milliarden
1033,US-Dollar,NOUN,Dollar,US-Dollar
1037,Die,DET,die,Die
1040,ist,AUX,sein,ist
1044,Monaten,NOUN,Monat,Monaten
1048,zweite,ADJ,zweit,zweite
1053,Milliarden,NOUN,Milliarde,Milliarden
1059,Inzwischen,ADV,inzwischen,Inzwischen
1060,sind,AUX,sein,sind
1062,Aktien,NOUN,Aktie,Aktien
1064,Online-Dienstes,NOUN,Dienst,Online-Dienstes
1066,abgerutscht,VERB,abrutschen,abgerutscht
1076,Milliarden,NOUN,Milliarde,Milliarden
1077,US-Dollar,NOUN,Dollar,US-Dollar
1078,bewertet,VERB,bewerten,bewertet
1079,wird,AUX,werden,wird
1081,Laut,ADP,laut,Laut
1096,Terroranschläge,NOUN,Terroranschlag,Terroranschläge
1110,einige,DET,einig,einige
1111,andere,PRON,ander,andere
1114,Hamburger,ADJ,hamburger,Hamburger
1115,Computerfirma,NOUN,Firma,Computerfirma
1120,gearbeitet,VERB,arbeiten,gearbeitet
1122,Dort,ADV,dort,Dort
1128,technisches,ADJ,technisch,technisches
1130,angeeignet,VERB,aneignen,angeeignet
1133,Für,ADP,für,Für
1135,Stundenlohn,NOUN,Lohn,Stundenlohn
1143,allem,PRON,all,allem
1148,Kisten,NOUN,Kiste,Kisten
1149,verpackt,VERB,verpacken,verpackt
1151,Der,DET,der,Der
1152,japanische,ADJ,japanisch,japanische
1160,steht,VERB,stehen,steht
1165,Ermittlungsbehörden,NOUN,Behörde,Ermittlungsbehörden
1167,In,ADP,in,In
1170,sagte,VERB,sagen,sagte
1174,habe,AUX,haben,habe
1180,ausgegeben,VERB,ausgeben,ausgegeben
1182,An,ADP,an,An
1183,andere,ADJ,ander,andere
1184,Namen,NOUN,Name,Namen
1186,Gesichter,NOUN,Gesicht,Gesichter
1187,könne,AUX,können,könne
1194,sagte,VERB,sagen,sagte
1201,sei,AUX,sein,sei
1204,Jobvermittlung,NOUN,Vermittlung,Jobvermittlung
1206,Technischen,ADJ,technisch,Technischen
1215,gekommen,VERB,kommen,gekommen
1217,Später,ADJ,später,Später
1218,habe,AUX,haben,habe
1224,Studenten,NOUN,Student,Studenten
1225,gewandt,VERB,wenden,gewandt
1228,angeboten,VERB,anbieten,angeboten
1230,Freunde,NOUN,Freund,Freunde
1231,mitzubringen,VERB,mitbringen,mitzubringen
1233,Nach,ADP,nach,Nach
1236,US-Ermittlungsbehörden,NOUN,Behörde,US-Ermittlungsbehörden
1239,Jobs,NOUN,Job,Jobs
1242,Hamburger,ADJ,hamburger,Hamburger
1243,Computer-Firma,NOUN,Firma,Computer-Firma
1245,weiteren,ADJ,weit,weiteren
1253,mehrere,DET,mehrer,mehrere
1254,Attentäter,NOUN,Täter,Attentäter
1258,geschickt,VERB,schicken,geschickt
1259,wurden,AUX,werden,wurden
1264,anzuschließen,VERB,anschließen,anzuschließen
1266,Von,ADP,von,Von
1271,hätten,AUX,haben,hätten
1276,Studenten,NOUN,Student,Studenten
1277,gelebt,VERB,leben,gelebt
1279,weitere,ADJ,weiter,weitere
1280,Instruktionen,NOUN,Instruktion,Instruktionen
1281,abgewartet,VERB,abwarten,abgewartet
1283,Nun,ADV,nun,Nun
1286,Telekommunikations-Unternehmen,NOUN,Unternehmen,Telekommunikations-Unternehmen
1296,Ersteres,PRON,ersteres,Ersteres
1297,will,AUX,wollen,will
1305,Polizisten,NOUN,Polizist,Polizisten
1306,T-D1-Mobilfunkgeräte,NOUN,Mobilfunkgerät,T-D1-Mobilfunkgeräte
1309,Gebührenbefreiung,NOUN,Befreiung,Gebührenbefreiung
1312,Monate,NOUN,Monat,Monate
1313,bereitstellt,VERB,bereitstellen,bereitstellt
1315,Der,DET,der,Der
1316,Gesamtwert,NOUN,Wert,Gesamtwert
1317,beträgt,VERB,betragen,beträgt
1321,Damit,ADV,damit,Damit
1322,will,AUX,wollen,will
1325,weitere,ADJ,weit,weitere
1335,Dem,DET,dem,Dem
1339,folgt,VERB,folgen,folgt
1341,erstes,ADJ,erste,erstes
1343,Telekom-Dienstleister,NOUN,Dienstleister,Telekom-Dienstleister
1346,Gegen,ADP,gegen,Gegen
1349,Dienstausweises,NOUN,Ausweis,Dienstausweises
1350,gewährt,VERB,gewähren,gewährt
1356,Berliner,ADJ,berliner,Berliner
1357,Polizisten,NOUN,Polizist,Polizisten
1359,kostenlosen,ADJ,kostenlos,kostenlosen
1360,Handy-Check,NOUN,Check,Handy-Check
1362,Dabei,ADV,dabei,Dabei
1363,wird,AUX,werden,wird
1365,Mobiltelefon,NOUN,Telefon,Mobiltelefon
1367,anderem,PRON,ander,anderem
1369,Stoßschäden,NOUN,Schaden,Stoßschäden
1370,untersucht,VERB,untersuchen,untersucht
1372,gereinigt,VERB,reinigen,gereinigt
1376,Software-Update,NOUN,Update,Software-Update
1377,vorgenommen,VERB,vornehmen,vorgenommen
1379,Von,ADP,von,Von
1385,hatte,AUX,haben,hatte
1389,allen,DET,all,allen
1390,Handy-Besitzern,NOUN,Besitzer,Handy-Besitzern
1393,befristeten,ADJ,befristen,befristeten
1394,Sommeraktion,NOUN,Aktion,Sommeraktion
1395,angeboten,VERB,anbieten,angeboten
1397,Für,ADP,für,Für
1400,wurde,AUX,werden,wurde
1408,verlängert,VERB,verlängern,verlängert
1410,Jedes,DET,jeder,Jedes
1412,wird,AUX,werden,wird
1420,Mittelpunkt,NOUN,Punkt,Mittelpunkt
1421,gerückt,VERB,rücken,gerückt
1424,war,AUX,sein,war
1432,Diesmal,ADV,diesmal,Diesmal
1433,gibt,VERB,geben,gibt
1437,ganze,ADJ,ganz,ganze
1438,Fokus-Region,NOUN,Region,Fokus-Region
1440,In,ADP,in,In
1441,zahlreichen,ADJ,zahlreich,zahlreichen
1442,Veranstaltungen,NOUN,Veranstaltung,Veranstaltungen
1443,soll,AUX,sollen,soll
1445,Stellenwert,NOUN,Wert,Stellenwert
1450,Business-to-Business-Tor,NOUN,Tor,Business-to-Business-Tor
1452,unterstrichen,VERB,unterstreichen,unterstrichen
1455,Die,DET,die,Die
1456,Länder,NOUN,Land,Länder
1474,Software-Halle,NOUN,Halle,Software-Halle
1478,MOE-Gemeinschaftsstand,NOUN,Stand,MOE-Gemeinschaftsstand
1489,beteiligt,VERB,beteiligen,beteiligt
1490,waren,AUX,sein,waren
1500,Die,DET,die,Die
1509,osteuropäischen,ADJ,osteuropäisch,osteuropäischen
1510,Nachbarländern,NOUN,Land,Nachbarländern
1511,ideale,ADJ,ideal,ideale
1512,Kooperationspartner,NOUN,Partner,Kooperationspartner
1515,IuK-Branche,NOUN,Branche,IuK-Branche
1517,Die,DET,die,Die
1521,Ländern,NOUN,Land,Ländern
1522,habe,AUX,haben,habe
1528,Kommunikationstechniken,NOUN,Technik,Kommunikationstechniken
1529,erkannt,VERB,erkennen,erkannt
1531,Hinzu,ADP,hinzu,Hinzu
1532,kämen,VERB,kommen,kämen
1534,gute,ADJ,gut,gute
1539,Spezialisten,NOUN,Spezialist,Spezialisten
1541,Der,DET,der,Der
1544,thüringischen,ADJ,thüringisch,thüringischen
1545,Landkreistages,NOUN,Tag,Landkreistages
1550,befürchtet,VERB,befürchten,befürchtet
1553,neue,ADJ,neu,neue
1554,Lizenzierungspolitik,NOUN,Politik,Lizenzierungspolitik
1556,Mehrausgaben,NOUN,Ausgabe,Mehrausgaben
1558,Millionenhöhe,NOUN,Höhe,Millionenhöhe
1560,Das,PRON,das,Das
1561,muss,AUX,müssen,muss
1565,heißt,VERB,heißen,heißt
1569,Bundesinnenministerium,NOUN,Innenministerium,Bundesinnenministerium
1571,Zwar,ADV,zwar,Zwar
1572,wird,AUX,werden,wird
1581,unterzeichnete,ADJ,unterzeichnen,unterzeichnete
1582,Rahmenvertrag,NOUN,Vertrag,Rahmenvertrag
1585,behandelt,VERB,behandeln,behandelt
1588,ist,AUX,sein,ist
1599,Mehrausgaben,NOUN,Ausgabe,Mehrausgaben
1601,zwingend,ADJ,zwingen,zwingend
1603,seien,AUX,sein,seien
1605,Das,PRON,das,Das
1606,hinge,VERB,hängen,hinge
1612,jeweiligen,ADJ,jeweilig,jeweiligen
1613,Behörden,NOUN,Behörde,Behörden
1614,angestellten,ADJ,anstellen,angestellten
1615,Modellrechnungen,NOUN,Rechnung,Modellrechnungen
1618,Ihnen,PRON,ihnen,Ihnen
1619,bleibe,VERB,bleiben,bleibe
1626,Rahmenvertrag,NOUN,Vertrag,Rahmenvertrag
1629,günstigsten,ADJ,günstig,günstigsten
1630,Konditionen,NOUN,Kondition,Konditionen
1633,auszuhandeln,VERB,aushandeln,auszuhandeln
1635,Durch,ADP,durch,Durch
1637,Rahmenvertrag,NOUN,Vertrag,Rahmenvertrag
1639,deutsche,ADJ,deutsch,deutsche
1640,Behörden,NOUN,Behörde,Behörden
1645,vergünstigte,ADJ,vergünstigen,vergünstigte
1646,Software-Lizenzen,NOUN,Lizenz,Software-Lizenzen
1649,Der,DET,der,Der
1651,sei,AUX,sein,sei
1654,neue,ADJ,neu,neue
1655,Lizenzmodelle,NOUN,Modell,Lizenzmodelle
1657,geworden,AUX,werden,geworden
1661,deutsche,ADJ,deutsch,deutsche
1662,Behörden,NOUN,Behörde,Behörden
1664,Mehrausgaben,NOUN,Ausgabe,Mehrausgaben
1667,gehabt,AUX,haben,gehabt
1668,hätten,AUX,haben,hätten
1670,Inzwischen,ADV,inzwischen,Inzwischen
1671,hat,AUX,haben,hat
1673,Software-Konzern,NOUN,Konzern,Software-Konzern
1675,Lizenzbedingungen,NOUN,Bedingung,Lizenzbedingungen
1677,abgeändert,VERB,abändern,abgeändert
1679,Außerdem,ADV,außerdem,Außerdem
1680,wurden,AUX,werden,wurden
1682,Bedingungen,NOUN,Bedingung,Bedingungen
1686,gelockert,VERB,lockern,gelockert
1688,Zum,ADP,zum,Zum
1691,Kunden,NOUN,Kunde,Kunden
1693,Software-Pakets,NOUN,Paket,Software-Pakets
1708,aufgenommen,VERB,aufnehmen,aufgenommen
1712,Der,DET,der,Der
1715,US-amerikanischen,ADJ,amerikanisch,US-amerikanischen
1716,Musikindustrie,NOUN,Industrie,Musikindustrie
1731,versammelten,ADJ,versammeln,versammelten
1734,Komponisten,NOUN,Komponist,Komponisten
1738,Verwertungsrechte,NOUN,Rechte,Verwertungsrechte
1741,geeinigt,VERB,einigen,geeinigt
1743,Damit,ADV,damit,Damit
1744,ist,AUX,sein,ist
1746,monatelanger,ADJ,monatelang,monatelanger
1748,beigelegt,VERB,beilegen,beigelegt
1752,einwandfreien,ADJ,einwandfrei,einwandfreien
1754,zahlreicher,ADJ,zahlreich,zahlreicher
1755,Musikstücke,NOUN,Musikstück,Musikstücke
1758,steht,VERB,stehen,steht
1762,Wege,NOUN,Weg,Wege
1764,In,ADP,in,In
1769,Parteien,NOUN,Partei,Parteien
1770,festgelegt,VERB,festlegen,festgelegt
1777,vertretenen,ADJ,vertreten,vertretenen
1787,schnellen,ADJ,schnell,schnellen
1790,alle,DET,all,alle
1799,versammelten,ADJ,versammeln,versammelten
1800,Lizenzen,NOUN,Lizenz,Lizenzen
1801,bekommt,VERB,bekommen,bekommt
1803,Die,DET,die,Die
1805,vertritt,VERB,vertreten,vertritt
1807,Interessen,NOUN,Interesse,Interessen
1811,Verlegern,NOUN,Verleger,Verlegern
1814,Künstlern,NOUN,Künstler,Künstlern
1816,Die,DET,die,Die
1817,Musikindustrie,NOUN,Industrie,Musikindustrie
1818,zahlt,VERB,zahlen,zahlt
1822,Vorschuss,NOUN,Vorschuß,Vorschuss
1825,Tantiemen,NOUN,Tantieme,Tantiemen
1831,US-Dollar,NOUN,Dollar,US-Dollar
1833,Falls,SCONJ,falls,Falls
1836,Parteien,NOUN,Partei,Parteien
1839,nächsten,ADJ,nächste,nächsten
1841,Jahren,NOUN,Jahr,Jahren
1845,endgültigen,ADJ,endgültig,endgültigen
1846,Zahlungsmodus,NOUN,Modus,Zahlungsmodus
1849,zahlt,VERB,zahlen,zahlt
1853,Vorschuss,NOUN,Vorschuß,Vorschuss
1857,US-Dollar,NOUN,Dollar,US-Dollar
1862,Vorstandsvorsitzende,NOUN,Vorsitzender,Vorstandsvorsitzende
1866,erwartet,VERB,erwarten,erwartet
1867,keine,DET,kein,keine
1868,Probleme,NOUN,Problem,Probleme
1873,Unternehmens,NOUN,Unternehmen,Unternehmens
1877,Auf,ADP,auf,Auf
1881,HP-Kunden,NOUN,Kunde,HP-Kunden
1883,IT-Spezialisten,NOUN,Spezialist,IT-Spezialisten
1884,wies,VERB,weisen,wies
1886,alle,DET,all,alle
1887,Gerüchte,NOUN,Gerücht,Gerüchte
1891,Zusammenschluss,NOUN,Zusammenschluß,Zusammenschluss
1892,werde,AUX,werden,werde
1896,Viele,ADJ,viel,Viele
1897,wichtige,ADJ,wichtig,wichtige
1898,Entscheidungen,NOUN,Entscheidung,Entscheidungen
1899,seien,AUX,sein,seien
1909,getroffen,VERB,treffen,getroffen
1910,worden,AUX,werden,worden
1912,Allerdings,ADV,allerdings,Allerdings
1913,hätten,AUX,haben,hätten
1921,beiden,ADJ,beide,beiden
1923,koordiniert,VERB,koordinieren,koordiniert
1932,Konkurrenten,NOUN,Konkurrent,Konkurrenten
1933,galten,VERB,gelten,galten
1935,Die,DET,die,Die
1936,HP-Chefin,NOUN,Chefin,HP-Chefin
1937,reagierte,VERB,reagieren,reagierte
1940,Kommentare,NOUN,Kommentar,Kommentare
1951,spekulierten,VERB,spekulieren,spekulierten
1960,hat,AUX,haben,hat
1964,Druckermarkt,NOUN,Markt,Druckermarkt
1972,ist,AUX,sein,ist
1975,Computerhersteller,NOUN,Hersteller,Computerhersteller
1978,will,AUX,wollen,will
1980,neuen,ADJ,neu,neuen
1981,Riesenkonzern,NOUN,Konzern,Riesenkonzern
1994,Produktzweig,NOUN,Zweig,Produktzweig
1999,Bisher,ADV,bisher,Bisher
