,token,tag,tag_STTS,lemma_gold,baseline
96,gilt,_,VVFIN,gelten,gilt
97,.,_,$.,.,.
98,Ihre,_,PPOSAT,Ihr,Ihre
99,Frau,_,NN,Frau,Frau
100,erfüllt,_,VVFIN,erfüllen,erfüllt
101,die,_,ART,der,die
102,Form,_,NN,Form,Form
103,und,_,KON,und,und
104,giebt,_,VVFIN,geben,giebt
105,den,_,ART,der,den
106,Konsens,_,NN,Konsens,Konsens
107,.,_,$.,.,.
108,Mehr,_,PIS,mehr,Mehr
109,verlangt,_,VVFIN,verlangen,verlangt
110,die,_,ART,der,die
111,Behörde,_,NN,Behörde,Behörde
112,nicht,_,PTKNEG,nicht,nicht
113,",",_,"$,",",",","
114,als,_,KOUS,als,als
115,daß,_,KOUS,dass,daß
116,der,_,ART,der,der
117,Form,_,NN,Form,Form
118,genügt,_,VVPP,genügen,genügt
119,wird,_,VAFIN,werden,wird
120,.,_,$.,.,.
121,Die,_,ART,der,Die
122,Papiere,_,NN,Papier,Papiere
123,kommen,_,VVFIN,kommen,kommen
124,in,_,APPR,in,in
125,die,_,ART,der,die
126,Akten,_,NN,Akte,Akten
127,",",_,"$,",",",","
128,und,_,KON,und,und
129,kein,_,PIAT,kein,kein
130,Mensch,_,NN,Mensch,Mensch
131,fragt,_,VVFIN,fragen,fragt
132,weiter,_,ADV,weiter,weiter
133,danach,_,PAV,danach,danach
134,.,_,$.,.,.
135,So,_,ADV,so,So
136,ruhig,_,ADJD,ruhig,ruhig
137,aber,_,ADV,aber,aber
138,die,_,ART,der,die
139,Tochter,_,NN,Tochter,Tochter
140,blieb,_,VVFIN,bleiben,blieb
141,",",_,"$,",",",","
142,so,_,ADV,so,so
143,bewegt,_,ADJD,bewegt,bewegt
144,gebärdete,_,VVFIN,gebärden,gebärdete
145,sich,_,PRF,sich,sich
146,der,_,ART,der,der
147,Vater,_,NN,Vater,Vater
148,.,_,$.,.,.
149,Aus,_,APPR,aus,Aus
150,dem,_,ART,der,dem
151,seligsten,_,ADJA,selig,seligsten
152,Lachen,_,NN,Lachen,Lachen
153,in,_,APPR,in,in
154,das,_,ART,der,das
155,lauteste,_,ADJA,laut,lauteste
156,Schluchzen,_,NN,Schluchzen,Schluchzen
157,der,_,ART,der,der
158,Rührung,_,NN,Rührung,Rührung
159,überspringend,_,ADJD,überspringend,überspringend
160,",",_,"$,",",",","
161,streifte,_,VVFIN,streifen,streifte
162,er,_,PPER,er,er
163,mehr,_,ADV,mehr,mehr
164,als,_,KOKOM,als,als
165,einmal,_,ADV,einmal,einmal
166,ans,_,APPRART,an,ans
167,Lächerliche,_,NN,Lächerliche,Lächerliche
168,und,_,KON,und,und
169,machte,_,VVFIN,machen,machte
170,endlich,_,ADV,endlich,endlich
171,nach,_,APPR,nach,nach
172,vollzogener,_,ADJA,vollzogen,vollzogener
173,Feierlichkeit,_,NN,Feierlichkeit,Feierlichkeit
174,seinem,_,PPOSAT,sein,seinem
175,Entzücken,_,NN,Entzücken,Entzücken
176,mit,_,APPR,mit,mit
177,dem,_,ART,der,dem
178,wiederholten,_,ADJA,wiederholt,wiederholten
179,Ausrufe,_,NN,Ausruf,Ausrufe
180,:,_,$.,:,:
181,»,_,$(,»,»
182,Sie,_,PPER,sie,Sie
183,ist,_,VAFIN,sein,ist
184,versorgt,_,VVPP,versorgen,versorgt
185,",",_,"$,",",",","
186,sie,_,PPER,sie,sie
187,ist,_,VAFIN,sein,ist
188,versorgt,_,VVPP,versorgen,versorgt
189,!,_,$.,!,!
190,«,_,$(,«,«
191,in,_,APPR,in,in
192,verschwenderischen,_,ADJA,verschwenderisch,verschwenderischen
193,Küssen,_,NN,Kuss,Küssen
194,und,_,KON,und,und
195,Umarmungen,_,NN,Umarmung,Umarmungen
196,Luft,_,NN,Luft,Luft
197,.,_,$.,.,.
198,Plötzlich,_,ADV,plötzlich,Plötzlich
199,nahmen,_,VVFIN,nehmen,nahmen
200,aber,_,ADV,aber,aber
201,alle,_,PIS,alle,alle
202,diese,_,PDAT,dieser,diese
203,Verhältnisse,_,NN,Verhältnis,Verhältnisse
204,eine,_,ART,ein,eine
205,neue,_,ADJA,neu,neue
206,Gestalt,_,NN,Gestalt,Gestalt
207,an,_,PTKVZ,an,an
208,.,_,$.,.,.
209,Einige,_,PIAT,einiger,Einige
210,Worte,_,NN,Wort,Worte
211,",",_,"$,",",",","
212,welche,_,PRELS,welcher,welche
213,Uriel,_,NE,Uriel,Uriel
214,eines,_,ART,ein,eines
215,Abends,_,NN,Abend,Abends
216,im,_,APPRART,in,im
217,Mondschein,_,NN,Mondschein,Mondschein
218,mit,_,APPR,mit,mit
219,Judith,_,NE,Judith,Judith
220,wechselte,_,VVFIN,wechseln,wechselte
221,",",_,"$,",",",","
222,gaben,_,VVFIN,geben,gaben
223,dazu,_,PAV,dazu,dazu
224,die,_,ART,der,die
225,Ursache,_,NN,Ursache,Ursache
226,her,_,PTKVZ,her,her
227,.,_,$.,.,.
228,Sie,_,PPER,sie,Sie
229,hatte,_,VAFIN,haben,hatte
230,ihn,_,PPER,er,ihn
231,gefragt,_,VVPP,fragen,gefragt
232,",",_,"$,",",",","
233,ob,_,KOUS,ob,ob
234,er,_,PPER,er,er
235,denn,_,ADV,denn,denn
236,in,_,APPR,in,in
237,Wahrheit,_,NN,Wahrheit,Wahrheit
238,den,_,ART,der,den
239,Namen,_,NN,Name,Namen
240,eines,_,ART,ein,eines
241,Sadducäers,_,NN,Sadduzäer,Sadducäers
242,verdiene,_,VVFIN,verdienen,verdiene
243,",",_,"$,",",",","
244,den,_,PRELS,der,den
245,man,_,PIS,man,man
246,ihm,_,PPER,er,ihm
247,allgemein,_,ADV,allgemein,allgemein
248,gäbe,_,VVFIN,geben,gäbe
249,.,_,$.,.,.
250,Wir,_,PPER,wir,Wir
251,durchzogen,_,VVFIN,durchziehen,durchzogen
252,das,_,ART,der,das
253,südliche,_,ADJA,südlich,südliche
254,Deutschland,_,NE,Deutschland,Deutschland
255,.,_,$.,.,.
256,In,_,APPR,in,In
257,einer,_,ART,ein,einer
258,kleinen,_,ADJA,klein,kleinen
259,Stadt,_,NN,Stadt,Stadt
260,trafen,_,VVFIN,treffen,trafen
261,wir,_,PPER,wir,wir
262,auf,_,APPR,auf,auf
263,einen,_,ART,ein,einen
264,italienischen,_,ADJA,italienisch,italienischen
265,Tenor,_,NN,Tenor,Tenor
266,",",_,"$,",",",","
267,der,_,PRELS,der,der
268,von,_,APPR,von,von
269,Mailand,_,NE,Mailand,Mailand
270,nach,_,APPR,nach,nach
271,Berlin,_,NE,Berlin,Berlin
272,wollte,_,VMFIN,wollen,wollte
273,.,_,$.,.,.
274,Meine,_,PPOSAT,mein,Meine
275,Damen,_,NN,Dame,Damen
276,waren,_,VAFIN,sein,waren
277,entzückt,_,ADJD,entzückt,entzückt
278,über,_,APPR,über,über
279,den,_,ART,der,den
280,Landsmann,_,NN,Landsmann,Landsmann
281,;,_,$.,;,;
282,er,_,PPER,er,er
283,trennte,_,VVFIN,trennen,trennte
284,sich,_,PRF,sich,sich
285,nicht,_,PTKNEG,nicht,nicht
286,von,_,APPR,von,von
287,ihnen,_,PPER,sie,ihnen
288,",",_,"$,",",",","
289,vorzüglich,_,ADV,vorzüglich,vorzüglich
290,hielt,_,VVFIN,halten,hielt
291,er,_,PPER,er,er
292,sich,_,PRF,sich,sich
293,an,_,APPR,an,an
294,Teresina,_,NE,Teresina,Teresina
295,",",_,"$,",",",","
296,und,_,KON,und,und
297,zu,_,APPR,zu,zu
298,meinem,_,PPOSAT,mein,meinem
299,nicht,_,PTKNEG,nicht,nicht
300,geringen,_,ADJA,gering,geringen
301,Ärger,_,NN,Ärger,Ärger
302,spielte,_,VVFIN,spielen,spielte
303,ich,_,PPER,ich,ich
304,eine,_,ART,ein,eine
305,ziemlich,_,ADV,ziemlich,ziemlich
306,untergeordnete,_,ADJA,untergeordnet,untergeordnete
307,Rolle,_,NN,Rolle,Rolle
308,.,_,$.,.,.
309,Einst,_,ADV,einst,Einst
310,wollte,_,VMFIN,wollen,wollte
311,ich,_,PPER,ich,ich
312,mit,_,APPR,mit,mit
313,einer,_,ART,ein,einer
314,Partitur,_,NN,Partitur,Partitur
315,unter,_,APPR,unter,unter
316,dem,_,ART,der,dem
317,Arm,_,NN,Arm,Arm
318,gerade,_,ADV,gerade,gerade
319,ins,_,APPRART,in,ins
320,Zimmer,_,NN,Zimmer,Zimmer
321,treten,_,VVINF,treten,treten
322,",",_,"$,",",",","
323,als,_,KOUS,als,als
324,ich,_,PPER,ich,ich
325,drinnen,_,ADV,drinnen,drinnen
326,ein,_,ART,ein,ein
327,lebhaftes,_,ADJA,lebhaft,lebhaftes
328,Gespräch,_,NN,Gespräch,Gespräch
329,zwischen,_,APPR,zwischen,zwischen
330,meinen,_,PPOSAT,mein,meinen
331,Damen,_,NN,Dame,Damen
332,und,_,KON,und,und
333,dem,_,ART,der,dem
334,Tenor,_,NN,Tenor,Tenor
335,vernahm,_,VVFIN,vernehmen,vernahm
336,.,_,$.,.,.
337,Mein,_,PPOSAT,mein,Mein
338,Name,_,NN,Name,Name
339,wurde,_,VAFIN,werden,wurde
340,genannt,_,VVPP,nennen,genannt
341,–,_,$(,-,–
342,ich,_,PPER,ich,ich
343,stutzte,_,VVFIN,stutzen,stutzte
344,",",_,"$,",",",","
345,ich,_,PPER,ich,ich
346,horchte,_,VVFIN,horchen,horchte
347,.,_,$.,.,.
348,Das,_,ART,der,Das
349,Italienische,_,NN,Italienisch,Italienische
350,verstand,_,VVFIN,verstehen,verstand
351,ich,_,PPER,ich,ich
352,jetzt,_,ADV,jetzt,jetzt
353,so,_,ADV,so,so
354,gut,_,ADJD,gut,gut
355,",",_,"$,",",",","
356,daß,_,KOUS,dass,daß
357,mir,_,PPER,ich,mir
358,kein,_,PIAT,kein,kein
359,Wort,_,NN,Wort,Wort
360,entging,_,VVFIN,entgehen,entging
361,.,_,$.,.,.
362,Lauretta,_,NE,Lauretta,Lauretta
363,erzählte,_,VVFIN,erzählen,erzählte
364,eben,_,ADV,eben,eben
365,den,_,ART,der,den
366,tragischen,_,ADJA,tragisch,tragischen
367,Vorfall,_,NN,Vorfall,Vorfall
368,im,_,APPRART,in,im
369,Konzert,_,NN,Konzert,Konzert
370,",",_,"$,",",",","
371,wie,_,KOUS,wie,wie
372,ich,_,PPER,ich,ich
373,ihr,_,PPER,sie,ihr
374,durch,_,APPR,durch,durch
375,unzeitiges,_,ADJA,unzeitig,unzeitiges
376,Niederschlagen,_,NN,Niederschlagen,Niederschlagen
377,den,_,ART,der,den
378,Triller,_,NN,Triller,Triller
379,abgeschnitten,_,VVPP,abschneiden,abgeschnitten
380,.,_,$.,.,.
381,›,_,$(,›,›
382,Asino,_,FM,Asino,Asino
383,tedesco,_,FM,tedesco,tedesco
384,‹,_,$(,‹,‹
385,",",_,"$,",",",","
386,rief,_,VVFIN,rufen,rief
387,der,_,ART,der,der
388,Tenor,_,NN,Tenor,Tenor
389,–,_,$(,-,–
390,es,_,PPER,es,es
391,war,_,VAFIN,sein,war
392,mir,_,PPER,ich,mir
393,zumute,_,ADV,zumute,zumute
394,",",_,"$,",",",","
395,als,_,KOUS,als,als
396,müßte,_,VMFIN,müssen,müßte
397,ich,_,PPER,ich,ich
398,hinein,_,ADV,hinein,hinein
399,und,_,KON,und,und
400,den,_,ART,der,den
401,luftigen,_,ADJA,luftig,luftigen
402,Theaterhelden,_,NN,Theaterheld,Theaterhelden
403,zum,_,APPRART,zu,zum
404,Fenster,_,NN,Fenster,Fenster
405,hinauswerfen,_,VVINF,hinauswerfen,hinauswerfen
406,–,_,$(,-,–
407,ich,_,PPER,ich,ich
408,hielt,_,VVFIN,halten,hielt
409,an,_,APPR,an,an
410,mich,_,PRF,ich,mich
411,.,_,$.,.,.
412,Lauretta,_,NE,Lauretta,Lauretta
413,sprach,_,VVFIN,sprechen,sprach
414,weiter,_,PTKVZ,weiter,weiter
415,",",_,"$,",",",","
416,daß,_,KOUS,dass,daß
417,sie,_,PPER,sie,sie
418,mich,_,PPER,ich,mich
419,gleich,_,ADV,gleich,gleich
420,fortjagen,_,VVINF,fortjagen,fortjagen
421,wollen,_,VMFIN,wollen,wollen
422,",",_,"$,",",",","
423,indessen,_,ADV,indessen,indessen
424,sei,_,VAFIN,sein,sei
425,sie,_,PPER,sie,sie
426,durch,_,APPR,durch,durch
427,mein,_,PPOSAT,mein,mein
428,flehentliches,_,ADJA,flehentlich,flehentliches
429,Bitten,_,NN,Bitten,Bitten
430,bewogen,_,VVPP,bewegen,bewogen
431,worden,_,VAPP,werden,worden
432,",",_,"$,",",",","
433,mich,_,PPER,ich,mich
434,noch,_,ADV,noch,noch
435,ferner,_,ADV,ferner,ferner
436,um,_,APPR,um,um
437,sich,_,PRF,sich,sich
438,zu,_,PTKZU,zu,zu
439,dulden,_,VVINF,dulden,dulden
440,aus,_,APPR,aus,aus
441,Mitleid,_,NN,Mitleid,Mitleid
442,",",_,"$,",",",","
443,da,_,KOUS,da,da
444,ich,_,PPER,ich,ich
445,bei,_,APPR,bei,bei
446,ihr,_,PPER,sie,ihr
447,den,_,ART,der,den
448,Gesang,_,NN,Gesang,Gesang
449,studieren,_,VVINF,studieren,studieren
450,wollen,_,VMFIN,wollen,wollen
451,.,_,$.,.,.
452,Teresina,_,NE,Teresina,Teresina
453,bestätigte,_,VVFIN,bestätigen,bestätigte
454,dies,_,PDS,dieser,dies
455,zu,_,APPR,zu,zu
456,meinem,_,PPOSAT,mein,meinem
457,nicht,_,PTKNEG,nicht,nicht
458,geringen,_,ADJA,gering,geringen
459,Erstaunen,_,NN,Erstaunen,Erstaunen
460,.,_,$.,.,.
461,›,_,$(,›,›
462,Es,_,PPER,es,Es
463,ist,_,VAFIN,sein,ist
464,ein,_,ART,ein,ein
465,gutes,_,ADJA,gut,gutes
466,Kind,_,NN,Kind,Kind
467,‹,_,$(,‹,‹
468,",",_,"$,",",",","
469,fügte,_,VVFIN,fügen,fügte
470,sie,_,PPER,sie,sie
471,hinzu,_,PTKVZ,hinzu,hinzu
472,",",_,"$,",",",","
473,›,_,$(,›,›
474,jetzt,_,ADV,jetzt,jetzt
475,ist,_,VAFIN,sein,ist
476,er,_,PPER,er,er
477,in,_,APPR,in,in
478,mich,_,PPER,ich,mich
479,verliebt,_,ADJD,verliebt,verliebt
480,und,_,KON,und,und
481,setzt,_,VVFIN,setzen,setzt
482,alles,_,PIS,alle,alles
483,für,_,APPR,für,für
484,den,_,ART,der,den
485,Alt,_,NN,Alt,Alt
486,.,_,$.,.,.
487,Einiges,_,PIAT,einiger,Einiges
488,Talent,_,NN,Talent,Talent
489,ist,_,VAFIN,sein,ist
490,in,_,APPR,in,in
491,ihm,_,PPER,er,ihm
492,",",_,"$,",",",","
493,aber,_,KON,aber,aber
494,er,_,PPER,er,er
495,muß,_,VMFIN,müssen,muß
496,sich,_,PRF,sich,sich
497,aus,_,APPR,aus,aus
498,dem,_,ART,der,dem
499,Steifen,_,NN,Steife,Steifen
500,und,_,KON,und,und
501,Ungelenken,_,NN,Ungelenke,Ungelenken
502,herausarbeiten,_,VVINF,herausarbeiten,herausarbeiten
503,",",_,"$,",",",","
504,das,_,PRELS,der,das
505,den,_,ART,der,den
506,Deutschen,_,NN,Deutsche,Deutschen
507,eigen,_,ADJD,eigen,eigen
508,.,_,$.,.,.
509,Ich,_,PPER,ich,Ich
510,hoffe,_,VVFIN,hoffen,hoffe
511,mir,_,PRF,ich,mir
512,aus,_,APPR,aus,aus
513,ihm,_,PPER,er,ihm
514,einen,_,ART,ein,einen
515,Compositore,_,FM,Compositore,Compositore
516,zu,_,PTKZU,zu,zu
517,bilden,_,VVINF,bilden,bilden
518,",",_,"$,",",",","
519,der,_,PRELS,der,der
520,mir,_,PPER,ich,mir
521,",",_,"$,",",",","
522,da,_,KOUS,da,da
523,wenig,_,PIS,wenig,wenig
524,für,_,APPR,für,für
525,den,_,ART,der,den
526,Alt,_,NN,Alt,Alt
527,geschrieben,_,VVPP,schreiben,geschrieben
528,wird,_,VAFIN,werden,wird
529,",",_,"$,",",",","
530,einige,_,PIAT,einiger,einige
531,tüchtige,_,ADJA,tüchtig,tüchtige
532,Sachen,_,NN,Sache,Sachen
533,setzt,_,VVFIN,setzen,setzt
534,",",_,"$,",",",","
535,nachher,_,ADV,nachher,nachher
536,lasse,_,VVFIN,lassen,lasse
537,ich,_,PPER,ich,ich
538,ihn,_,PPER,er,ihn
539,laufen,_,VVINF,laufen,laufen
540,.,_,$.,.,.
541,–,_,$(,-,–
542,Nun,_,ADV,nun,Nun
543,fing,_,VVFIN,fangen,fing
544,Lauretta,_,NE,Lauretta,Lauretta
545,ein,_,ART,ein,ein
546,Duett,_,NN,Duett,Duett
547,an,_,PTKVZ,an,an
548,",",_,"$,",",",","
549,das,_,PRELS,der,das
550,ich,_,PPER,ich,ich
551,komponiert,_,VVPP,komponieren,komponiert
552,und,_,KON,und,und
553,das,_,PRELS,der,das
554,sie,_,PPER,sie,sie
555,sonst,_,ADV,sonst,sonst
556,hoch,_,ADV,hoch,hoch
557,gerühmt,_,VVPP,rühmen,gerühmt
558,hatte,_,VAFIN,haben,hatte
559,.,_,$.,.,.
560,Teresina,_,NE,Teresina,Teresina
561,nahm,_,VVFIN,nehmen,nahm
562,die,_,ART,der,die
563,zweite,_,ADJA,zweiter,zweite
564,Stimme,_,NN,Stimme,Stimme
565,auf,_,PTKVZ,auf,auf
566,",",_,"$,",",",","
567,und,_,KON,und,und
568,beide,_,PIS,beide,beide
569,parodierten,_,VVFIN,parodieren,parodierten
570,in,_,APPR,in,in
571,Stimme,_,NN,Stimme,Stimme
572,und,_,KON,und,und
573,Vortrag,_,NN,Vortrag,Vortrag
574,mich,_,PPER,ich,mich
575,auf,_,APPR,auf,auf
576,das,_,ART,der,das
577,grausamste,_,NN,Grausamste,grausamste
578,.,_,$.,.,.
579,Der,_,ART,der,Der
580,Tenor,_,NN,Tenor,Tenor
581,lachte,_,VVFIN,lachen,lachte
582,",",_,"$,",",",","
583,daß,_,KOUS,dass,daß
584,es,_,PPER,es,es
585,im,_,APPRART,in,im
586,Zimmer,_,NN,Zimmer,Zimmer
587,schallte,_,VVFIN,schallen,schallte
588,",",_,"$,",",",","
589,ein,_,ART,ein,ein
590,Eisstrom,_,NN,Eisstrom,Eisstrom
591,goß,_,VVFIN,gießen,goß
592,sich,_,PRF,sich,sich
593,durch,_,APPR,durch,durch
594,meine,_,PPOSAT,mein,meine
595,Glieder,_,NN,Glied,Glieder
596,–,_,$(,-,–
597,mein,_,PPOSAT,mein,mein
598,Entschluß,_,NN,Entschluss,Entschluß
599,war,_,VAFIN,sein,war
600,gefaßt,_,VVPP,fassen,gefaßt
601,unwiderruflich,_,ADV,unwiderruflich,unwiderruflich
602,.,_,$.,.,.
603,Leise,_,ADJD,leise,Leise
604,schlich,_,VVFIN,schleichen,schlich
605,ich,_,PPER,ich,ich
606,mich,_,PRF,ich,mich
607,fort,_,PTKVZ,fort,fort
608,von,_,APPR,von,von
609,der,_,ART,der,der
610,Tür,_,NN,Tür,Tür
611,in,_,APPR,in,in
612,mein,_,PPOSAT,mein,mein
613,Zimmer,_,NN,Zimmer,Zimmer
614,zurück,_,ADV,zurück,zurück
615,",",_,"$,",",",","
616,dessen,_,PRELAT,der,dessen
617,Fenster,_,NN,Fenster,Fenster
618,in,_,APPR,in,in
619,die,_,ART,der,die
620,Seitenstraße,_,NN,Seitenstraße,Seitenstraße
621,gingen,_,VVFIN,gehen,gingen
622,.,_,$.,.,.
623,Gegenüber,_,ADV,gegenüber,Gegenüber
624,war,_,VAFIN,sein,war
625,die,_,ART,der,die
626,Post,_,NN,Post,Post
627,gelegen,_,VVPP,liegen,gelegen
628,",",_,"$,",",",","
629,eben,_,ADV,eben,eben
630,fuhr,_,VVFIN,fahren,fuhr
631,der,_,ART,der,der
632,Bamberger,_,ADJA,Bamberger,Bamberger
633,Postwagen,_,NN,Postwagen,Postwagen
634,vor,_,PTKVZ,vor,vor
635,",",_,"$,",",",","
636,der,_,PRELS,der,der
637,gepackt,_,VVPP,packen,gepackt
638,werden,_,VAINF,werden,werden
639,sollte,_,VMFIN,sollen,sollte
640,.,_,$.,.,.
641,Die,_,ART,der,Die
642,Passagiere,_,NN,Passagier,Passagiere
643,standen,_,VVFIN,stehen,standen
644,schon,_,ADV,schon,schon
645,vor,_,APPR,vor,vor
646,dem,_,ART,der,dem
647,Torwege,_,NN,Torweg,Torwege
648,",",_,"$,",",",","
649,doch,_,KON,doch,doch
650,hatte,_,VAFIN,haben,hatte
651,ich,_,PPER,ich,ich
652,noch,_,ADV,noch,noch
653,eine,_,ART,ein,eine
654,Stunde,_,NN,Stunde,Stunde
655,Zeit,_,NN,Zeit,Zeit
656,.,_,$.,.,.
657,Schnell,_,ADJD,schnell,Schnell
658,raffte,_,VVFIN,raffen,raffte
659,ich,_,PPER,ich,ich
660,meine,_,PPOSAT,mein,meine
661,Sachen,_,NN,Sache,Sachen
662,zusammen,_,PTKVZ,zusammen,zusammen
663,",",_,"$,",",",","
664,bezahlte,_,VVFIN,bezahlen,bezahlte
665,großmütig,_,ADJD,großmütig,großmütig
666,die,_,ART,der,die
667,ganze,_,ADJA,ganz,ganze
668,Rechnung,_,NN,Rechnung,Rechnung
669,im,_,APPRART,in,im
670,Gasthofe,_,NN,Gasthof,Gasthofe
671,und,_,KON,und,und
672,eilte,_,VVFIN,eilen,eilte
673,nach,_,APPR,nach,nach
674,der,_,ART,der,der
675,Post,_,NN,Post,Post
676,.,_,$.,.,.
677,Als,_,KOUS,als,Als
678,ich,_,PPER,ich,ich
679,durch,_,APPR,durch,durch
680,die,_,ART,der,die
681,breite,_,ADJA,breit,breite
682,Straße,_,NN,Straße,Straße
683,fuhr,_,VVFIN,fahren,fuhr
684,",",_,"$,",",",","
685,sah,_,VVFIN,sehen,sah
686,ich,_,PPER,ich,ich
687,meine,_,PPOSAT,mein,meine
688,Damen,_,NN,Dame,Damen
689,",",_,"$,",",",","
690,die,_,PRELS,der,die
691,mit,_,APPR,mit,mit
692,dem,_,ART,der,dem
693,Tenor,_,NN,Tenor,Tenor
694,noch,_,ADV,noch,noch
695,am,_,APPRART,an,am
696,Fenster,_,NN,Fenster,Fenster
697,standen,_,VVFIN,stehen,standen
698,und,_,KON,und,und
699,sich,_,PRF,sich,sich
700,auf,_,APPR,auf,auf
701,den,_,ART,der,den
702,Schall,_,NN,Schall,Schall
703,des,_,ART,der,des
704,Posthorns,_,NN,Posthorn,Posthorns
705,herausbückten,_,VVFIN,herausbücken,herausbückten
706,.,_,$.,.,.
707,An,_,APPR,an,An
708,der,_,ART,der,der
709,Spitze,_,NN,Spitze,Spitze
710,die,_,ART,der,die
711,drei,_,CARD,drei,drei
712,Tarockbrüder,_,NN,Tarockbruder,Tarockbrüder
713,mit,_,APPR,mit,mit
714,erschütterten,_,ADJA,erschüttert,erschütterten
715,Mienen,_,NN,Miene,Mienen
716,.,_,$.,.,.
717,»,_,$(,»,»
718,Ach,_,ITJ,ach,Ach
719,",",_,"$,",",",","
720,wie,_,PWAV,wie,wie
721,grausam,_,ADJD,grausam,grausam
722,",",_,"$,",",",","
723,wie,_,PWAV,wie,wie
724,hart,_,ADJD,hart,hart
725,",",_,"$,",",",","
726,wie,_,PWAV,wie,wie
727,erbarmungslos,_,ADJD,erbarmungslos,erbarmungslos
728,ich,_,PPER,ich,ich
729,war,_,VAFIN,sein,war
730,!,_,$.,!,!
731,Du,_,PPER,du,Du
732,hast,_,VAFIN,haben,hast
733,meinetwegen,_,ADV,meinetwegen,meinetwegen
734,so,_,ADV,so,so
735,leiden,_,VVINF,leiden,leiden
736,müssen,_,VMINF,müssen,müssen
737,!,_,$.,!,!
738,Du,_,PPER,du,Du
739,mein,_,PPOSAT,mein,mein
740,Liebling,_,NN,Liebling,Liebling
741,",",_,"$,",",",","
742,ich,_,PPER,ich,ich
743,weiß,_,VVFIN,wissen,weiß
744,nicht,_,PTKNEG,nicht,nicht
745,",",_,"$,",",",","
