,token,tag,tag_STTS,lemma_gold,baseline
71,.,PUNCT,$.,.,.
72,_,UNK,--,--,_
73,Hallo,INTJ,ITJ,hallo,Hallo
74,",",PUNCT,"$,",",",","
75,Alex,PROPN,NE,Alex,Alex
76,.,PUNCT,$.,.,.
77,_,UNK,--,--,_
78,Da,ADV,ADV,da,Da
79,bin,AUX,VAFIN,sein,bin
80,ich,PRON,PPER,ich,ich
81,schon,ADV,ADV,schon,schon
82,wieder,ADV,ADV,wieder,wieder
83,.,PUNCT,$.,.,.
84,_,UNK,--,--,_
85,Na,INTJ,ITJ,na,Na
86,",",PUNCT,"$,",",",","
87,Mensch,NOUN,NN,Mensch,Mensch
88,.,PUNCT,$.,.,.
89,_,UNK,--,--,_
90,So,ADV,ADV,so,So
91,.,PUNCT,$.,.,.
92,_,UNK,--,--,_
93,Jetzt,ADV,ADV,jetzt,Jetzt
94,beschreibe,VERB,VVFIN,beschreiben,beschreibe
95,ich,PRON,PPER,ich,ich
96,dir,PRON,PPER,du,dir
97,mal,ADV,ADV,mal,mal
98,einen,DET,ART,ein,einen
99,Weg,NOUN,NN,Weg,Weg
100,.,PUNCT,$.,.,.
101,_,UNK,--,--,_
102,Tue,VERB,VVIMP,tun,Tue
103,dies,PRON,PDS,dies,dies
104,!,PUNCT,$.,!,!
105,_,UNK,--,--,_
106,So,ADV,ADV,so,So
107,.,PUNCT,$.,.,.
108,_,UNK,--,--,_
109,Hast,AUX,VAFIN,haben,Hast
110,du,PRON,PPER,du,du
111,unten,ADV,ADV,unten,unten
112,links,ADV,ADV,links,links
113,so,ADV,ADV,so,so
114,einen,DET,ART,ein,einen
115,Startpunkt,NOUN,NN,Startpunkt,Startpunkt
116,?,PUNCT,$.,?,?
117,_,UNK,--,--,_
118,Nein,PART,PTKANT,nein,Nein
119,.,PUNCT,$.,.,.
120,_,UNK,--,--,_
121,Nein,PART,PTKANT,nein,Nein
122,.,PUNCT,$.,.,.
123,_,UNK,--,--,_
124,Doch,PART,PTKANT,doch,Doch
125,.,PUNCT,$.,.,.
126,_,UNK,--,--,_
127,Du,PRON,PPER,du,Du
128,hast,AUX,VAFIN,haben,hast
129,den,PRON,PDS,d,den
130,auf,ADP,APPR,auf,auf
131,jeden,DET,PIDAT,jed,jeden
132,Fall,NOUN,NN,Fall,Fall
133,.,PUNCT,$.,.,.
134,_,UNK,--,--,_
135,Das,PRON,PDS,d,Das
136,ist,AUX,VAFIN,sein,ist
137,doch,ADV,ADV,doch,doch
138,immer,ADV,ADV,immer,immer
139,gleich,ADJ,ADJD,gleich,gleich
140,.,PUNCT,$.,.,.
141,_,UNK,--,--,_
142,Ja,PART,PTKANT,ja,Ja
143,.,PUNCT,$.,.,.
144,_,UNK,--,--,_
145,Wer,PRON,PWS,wer,Wer
146,weiß,VERB,VVFIN,wissen,weiß
147,das,PRON,PDS,d,das
148,?,PUNCT,$.,?,?
149,_,UNK,--,--,_
150,Weißt,VERB,VVFIN,wissen,Weißt
151,du,PRON,PPER,du,du
152,",",PUNCT,"$,",",",","
153,irgendwie,ADV,ADV,irgendwie,irgendwie
154,verarschen,VERB,VVFIN,verarschen,verarschen
155,die,PRON,PDS,d,die
156,einen,PRON,PIS,ein,einen
157,ja,ADV,ADV,ja,ja
158,doch,ADV,ADV,doch,doch
159,hier,ADV,ADV,hier,hier
160,so,ADV,ADV,so,so
161,ein,DET,ART,ein,ein
162,bisschen,PRON,PIS,bisschen,bisschen
163,.,PUNCT,$.,.,.
164,_,UNK,--,--,_
165,Also,ADV,ADV,also,Also
166,.,PUNCT,$.,.,.
167,_,UNK,--,--,_
168,Von,ADP,APPR,von,Von
169,diesem,DET,PDAT,dies,diesem
170,Startpunkt,NOUN,NN,Startpunkt,Startpunkt
171,gehst,VERB,VVFIN,gehen,gehst
172,du,PRON,PPER,du,du
173,rechts,ADV,ADV,rechts,rechts
174,.,PUNCT,$.,.,.
175,_,UNK,--,--,_
176,Aber,CONJ,KON,aber,Aber
177,warte,VERB,VVIMP,warten,warte
178,.,PUNCT,$.,.,.
179,_,UNK,--,--,_
180,Ich,PRON,PPER,ich,Ich
181,will,VERB,VMFIN,wollen,will
182,es,PRON,PPER,es,es
183,dir,PRON,PPER,du,dir
184,erst,ADV,ADV,erst,erst
185,zu,ADP,APPR,zu,zu
186,Ende,NOUN,NN,Ende,Ende
187,erklären,VERB,VVINF,erklären,erklären
188,.,PUNCT,$.,.,.
189,_,UNK,--,--,_
190,Okay,ADV,ADV,okay,Okay
191,.,PUNCT,$.,.,.
192,_,UNK,--,--,_
193,Okay,ADV,ADV,okay,Okay
194,.,PUNCT,$.,.,.
195,_,UNK,--,--,_
196,Ich,PRON,PPER,ich,Ich
197,bin,AUX,VAFIN,sein,bin
198,nicht,PART,PTKNEG,nicht,nicht
199,.,PUNCT,$.,.,.
200,_,UNK,--,--,_
201,Du,PRON,PPER,du,Du
202,gehst,VERB,VVFIN,gehen,gehst
203,so,ADV,ADV,so,so
204,bis,ADP,APPR,bis,bis
205,zur,ADP,APPRART,zur,zur
206,Hälfte,NOUN,NN,Hälfte,Hälfte
207,des,DET,ART,d,des
208,Bildes,NOUN,NN,Bild,Bildes
209,parallel,ADJ,ADJD,parallel,parallel
210,nach,ADP,APPR,nach,nach
211,rechts,ADV,ADV,rechts,rechts
212,.,PUNCT,$.,.,.
213,_,UNK,--,--,_
214,Also,ADV,ADV,also,Also
215,gehst,VERB,VVFIN,gehen,gehst
216,du,PRON,PPER,du,du
217,einfach,ADV,ADV,einfach,einfach
218,eine,DET,ART,ein,eine
219,senkrechte,ADJ,ADJA,senkrecht,senkrechte
220,Linie,NOUN,NN,Linie,Linie
221,.,PUNCT,$.,.,.
222,_,UNK,--,--,_
223,Boah,INTJ,ITJ,boah,Boah
224,.,PUNCT,$.,.,.
225,_,UNK,--,--,_
226,Fick,VERB,VVIMP,ficken,Fick
227,dich,PRON,PRF,du,dich
228,.,PUNCT,$.,.,.
229,_,UNK,--,--,_
230,Mann,NOUN,NN,Mann,Mann
231,.,PUNCT,$.,.,.
232,_,UNK,--,--,_
233,Ich,PRON,PPER,ich,Ich
234,will,VERB,VMFIN,wollen,will
235,jetzt,ADV,ADV,jetzt,jetzt
236,nach,ADP,APPR,nach,nach
237,rechts,ADV,ADV,rechts,rechts
238,gehen,VERB,VVINF,gehen,gehen
239,.,PUNCT,$.,.,.
240,_,UNK,--,--,_
241,Ja,PART,PTKANT,ja,Ja
242,.,PUNCT,$.,.,.
243,_,UNK,--,--,_
244,Du,PRON,PPER,du,Du
245,machst,VERB,VVFIN,machen,machst
246,es,PRON,PPER,es,es
247,jetzt,ADV,ADV,jetzt,jetzt
248,so,ADV,ADV,so,so
249,.,PUNCT,$.,.,.
250,_,UNK,--,--,_
251,Okay,ADV,ADV,okay,Okay
252,.,PUNCT,$.,.,.
253,_,UNK,--,--,_
254,Da,ADV,ADV,da,Da
255,ist,AUX,VAFIN,sein,ist
256,ein,DET,ART,ein,ein
257,Bild,NOUN,NN,Bild,Bild
258,.,PUNCT,$.,.,.
259,_,UNK,--,--,_
260,Oder,CONJ,KON,oder,Oder
261,ist,AUX,VAFIN,sein,ist
262,da,ADV,ADV,da,da
263,ein,DET,ART,ein,ein
264,Bild,NOUN,NN,Bild,Bild
265,?,PUNCT,$.,?,?
266,_,UNK,--,--,_
267,Das,PRON,PDS,d,Das
268,ist,AUX,VAFIN,sein,ist
269,ein,DET,ART,ein,ein
270,Käsebild,NOUN,NN,Käsebild,Käsebild
271,so,ADV,ADV,so,so
272,.,PUNCT,$.,.,.
273,_,UNK,--,--,_
274,Genau,ADV,ADV,genau,Genau
275,.,PUNCT,$.,.,.
276,_,UNK,--,--,_
277,Du,PRON,PPER,du,Du
278,gehst,VERB,VVFIN,gehen,gehst
279,so,ADV,ADV,so,so
280,.,PUNCT,$.,.,.
281,_,UNK,--,--,_
282,Das,PRON,PDS,d,Das
283,ist,AUX,VAFIN,sein,ist
284,ein,DET,ART,ein,ein
285,Gouda,NOUN,NN,Gouda,Gouda
286,.,PUNCT,$.,.,.
287,_,UNK,--,--,_
288,Oder,CONJ,KON,oder,Oder
289,was,PRON,PWS,was,was
290,das,PRON,PDS,d,das
291,ist,AUX,VAFIN,sein,ist
292,.,PUNCT,$.,.,.
293,_,UNK,--,--,_
294,Du,PRON,PPER,du,Du
295,gehst,VERB,VVFIN,gehen,gehst
296,so,ADV,ADV,so,so
297,unten,ADV,ADV,unten,unten
298,rechts,ADV,ADV,rechts,rechts
299,vom,ADP,APPRART,vom,vom
300,Käse,NOUN,NN,Käse,Käse
301,praktisch,ADV,ADV,praktisch,praktisch
302,entlang,PART,PTKVZ,entlang,entlang
303,.,PUNCT,$.,.,.
304,_,UNK,--,--,_
305,Ja,PART,PTKANT,ja,Ja
306,.,PUNCT,$.,.,.
307,_,UNK,--,--,_
308,So,ADV,ADV,so,So
309,dass,SCONJ,KOUS,dass,dass
310,.,PUNCT,$.,.,.
311,_,UNK,--,--,_
312,Du,PRON,PPER,du,Du
313,gehst,VERB,VVFIN,gehen,gehst
314,so,ADV,ADV,so,so
315,einen,DET,ART,ein,einen
316,halben,ADJ,ADJA,halb,halben
317,Zentimeter,NOUN,NN,Zentimeter,Zentimeter
318,rechts,ADV,ADV,rechts,rechts
319,neben,ADP,APPR,neben,neben
320,dem,DET,ART,d,dem
321,Käse,NOUN,NN,Käse,Käse
322,",",PUNCT,"$,",",",","
323,dass,SCONJ,KOUS,dass,dass
324,du,PRON,PPER,du,du
325,da,ADV,ADV,da,da
326,bist,AUX,VAFIN,sein,bist
327,aber,CONJ,KON,aber,aber
328,unten,ADV,ADV,unten,unten
329,bleibst,VERB,VVFIN,bleiben,bleibst
330,.,PUNCT,$.,.,.
331,_,UNK,--,--,_
332,Du,PRON,PPER,du,Du
333,.,PUNCT,$.,.,.
334,_,UNK,--,--,_
335,Ja,PART,PTKANT,ja,Ja
336,.,PUNCT,$.,.,.
337,_,UNK,--,--,_
338,Parallel,ADJ,ADJD,parallel,Parallel
339,also,ADV,ADV,also,also
340,bleibst,VERB,VVFIN,bleiben,bleibst
341,du,PRON,PPER,du,du
342,auf,ADP,APPR,auf,auf
343,der,DET,ART,d,der
344,Startebene,NOUN,NN,Startebene,Startebene
345,.,PUNCT,$.,.,.
346,_,UNK,--,--,_
347,Ja,PART,PTKANT,ja,Ja
348,.,PUNCT,$.,.,.
349,_,UNK,--,--,_
350,Okay,ADV,ADV,okay,Okay
351,.,PUNCT,$.,.,.
352,_,UNK,--,--,_
353,Das,PRON,PDS,d,Das
354,habe,AUX,VAFIN,haben,habe
355,ich,PRON,PPER,ich,ich
356,.,PUNCT,$.,.,.
357,_,UNK,--,--,_
358,Ja,PART,PTKANT,ja,Ja
359,.,PUNCT,$.,.,.
360,_,UNK,--,--,_
361,Ja,PART,PTKANT,ja,Ja
362,.,PUNCT,$.,.,.
363,_,UNK,--,--,_
364,Will,VERB,VMFIN,wollen,Will
365,.,PUNCT,$.,.,.
366,_,UNK,--,--,_
367,Ich,PRON,PPER,ich,Ich
368,kann,VERB,VMFIN,können,kann
369,nicht,PART,PTKNEG,nicht,nicht
370,mehr,ADV,ADV,mehr,mehr
371,so,ADV,ADV,so,so
372,gerade,ADV,ADV,gerade,gerade
373,zeichnen,VERB,VVINF,zeichnen,zeichnen
374,.,PUNCT,$.,.,.
375,_,UNK,--,--,_
376,Aber,CONJ,KON,aber,Aber
377,das,PRON,PDS,d,das
378,ist,AUX,VAFIN,sein,ist
379,okay,ADJ,ADJD,okay,okay
380,.,PUNCT,$.,.,.
381,_,UNK,--,--,_
382,Das,PRON,PDS,d,Das
383,geht,VERB,VVFIN,gehen,geht
384,klar,PART,PTKVZ,klar,klar
385,.,PUNCT,$.,.,.
386,_,UNK,--,--,_
387,Ja,PART,PTKANT,ja,Ja
388,.,PUNCT,$.,.,.
389,_,UNK,--,--,_
390,Du,PRON,PPER,du,Du
391,hast,AUX,VAFIN,haben,hast
392,meines,PRON,PPOSS,mein,meines
393,gesehen,VERB,VVPP,sehen,gesehen
394,",",PUNCT,"$,",",",","
395,bitte,PART,PTKANT,bitte,bitte
396,.,PUNCT,$.,.,.
397,_,UNK,--,--,_
398,Zeichnungen,NOUN,NN,Zeichnung,Zeichnungen
399,können,VERB,VMFIN,können,können
400,ja,ADV,ADV,ja,ja
401,VERBen,VERB,VVINF,VERBen,VERBen
402,.,PUNCT,$.,.,.
403,_,UNK,--,--,_
404,Okay,ADV,ADV,okay,Okay
405,.,PUNCT,$.,.,.
406,_,UNK,--,--,_
407,Du,PRON,PPER,du,Du
408,hast,AUX,VAFIN,haben,hast
409,wunderbar,ADJ,ADJD,wunderbar,wunderbar
410,gerade,ADJ,ADJA,gerade,gerade
411,Linien,NOUN,NN,Linie,Linien
412,gezogen,VERB,VVPP,ziehen,gezogen
413,.,PUNCT,$.,.,.
414,_,UNK,--,--,_
415,Also,ADV,ADV,also,Also
416,.,PUNCT,$.,.,.
417,_,UNK,--,--,_
418,Ich,PRON,PPER,ich,Ich
419,glaube,VERB,VVFIN,glauben,glaube
420,",",PUNCT,"$,",",",","
421,du,PRON,PPER,du,du
422,bist,AUX,VAFIN,sein,bist
423,ziemlich,ADV,ADV,ziemlich,ziemlich
424,talentiert,ADJ,ADJD,talentiert,talentiert
425,.,PUNCT,$.,.,.
426,_,UNK,--,--,_
427,Du,PRON,PPER,du,Du
428,schmeichelst,VERB,VVFIN,schmeicheln,schmeichelst
429,mir,PRON,PPER,ich,mir
430,.,PUNCT,$.,.,.
431,_,UNK,--,--,_
432,So,ADV,ADV,so,So
433,.,PUNCT,$.,.,.
434,_,UNK,--,--,_
435,Jetzt,ADV,ADV,jetzt,Jetzt
436,gehst,VERB,VVFIN,gehen,gehst
437,du,PRON,PPER,du,du
438,von,ADP,APPR,von,von
439,diesem,DET,PDAT,dies,diesem
440,Punkt,NOUN,NN,Punkt,Punkt
441,.,PUNCT,$.,.,.
442,_,UNK,--,--,_
443,Da,ADV,ADV,da,Da
444,bist,AUX,VAFIN,sein,bist
445,du,PRON,PPER,du,du
446,hast,AUX,VAFIN,haben,hast
447,du,PRON,PPER,du,du
448,in,ADP,APPR,in,in
449,der,DET,ART,d,der
450,Mitte,NOUN,NN,Mitte,Mitte
451,des,DET,ART,d,des
452,in,ADP,APPR,in,in
453,der,DET,ART,d,der
454,Mitte,NOUN,NN,Mitte,Mitte
455,des,DET,ART,d,des
456,Blattes,NOUN,NN,Blatt,Blattes
457,diese,DET,PDAT,dies,diese
458,Äpfel,NOUN,NN,Apfel,Äpfel
459,.,PUNCT,$.,.,.
460,_,UNK,--,--,_
461,Ja,PART,PTKANT,ja,Ja
462,.,PUNCT,$.,.,.
463,_,UNK,--,--,_
464,So,ADV,ADV,so,So
465,.,PUNCT,$.,.,.
466,_,UNK,--,--,_
467,Und,CONJ,KON,und,Und
468,dann,ADV,ADV,dann,dann
469,gehst,VERB,VVFIN,gehen,gehst
470,du,PRON,PPER,du,du
471,von,ADP,APPR,von,von
472,dem,DET,ART,d,dem
473,Punkt,NOUN,NN,Punkt,Punkt
474,",",PUNCT,"$,",",",","
475,auf,ADP,APPR,auf,auf
476,dem,PRON,PRELS,d,dem
477,du,PRON,PPER,du,du
478,da,ADV,ADV,da,da
479,warst,AUX,VAFIN,sein,warst
480,",",PUNCT,"$,",",",","
481,gehst,VERB,VVFIN,gehen,gehst
482,du,PRON,PPER,du,du
483,zu,ADP,APPR,zu,zu
484,den,DET,ART,d,den
485,Äpfeln,NOUN,NN,Apfel,Äpfeln
486,hoch,PART,PTKVZ,hoch,hoch
487,.,PUNCT,$.,.,.
488,_,UNK,--,--,_
489,Also,ADV,ADV,also,Also
490,.,PUNCT,$.,.,.
491,_,UNK,--,--,_
492,Du,PRON,PPER,du,Du
493,müsstest,VERB,VMFIN,müssen,müsstest
494,jetzt,ADV,ADV,jetzt,jetzt
495,eigentlich,ADV,ADV,eigentlich,eigentlich
496,mit,ADP,APPR,mit,mit
497,deiner,DET,PPOSAT,dein,deiner
498,Linie,NOUN,NN,Linie,Linie
499,.,PUNCT,$.,.,.
500,_,UNK,--,--,_
501,Wie,ADV,PWAV,wie,Wie
502,weit,ADJ,ADJD,weit,weit
503,hinter,ADP,APPR,hinter,hinter
504,die,DET,ART,d,die
505,Äpfel,NOUN,NN,Apfel,Äpfel
506,muss,VERB,VMFIN,müssen,muss
507,ich,PRON,PPER,ich,ich
508,.,PUNCT,$.,.,.
509,_,UNK,--,--,_
510,Hör,VERB,VVIMP,hören,Hör
511,erstmal,ADV,ADV,erstmal,erstmal
512,auf,PART,PTKVZ,auf,auf
513,.,PUNCT,$.,.,.
514,_,UNK,--,--,_
515,Ich,PRON,PPER,ich,Ich
516,will,VERB,VMFIN,wollen,will
517,dir,PRON,PPER,du,dir
518,erstmal,ADV,ADV,erstmal,erstmal
519,.,PUNCT,$.,.,.
520,_,UNK,--,--,_
521,Ich,PRON,PPER,ich,Ich
522,will,VERB,VMFIN,wollen,will
523,es,PRON,PPER,es,es
524,dir,PRON,PPER,du,dir
525,erstmal,ADV,ADV,erstmal,erstmal
526,erzählen,VERB,VVINF,erzählen,erzählen
527,.,PUNCT,$.,.,.
528,_,UNK,--,--,_
529,Du,PRON,PPER,du,Du
530,müsstest,VERB,VMFIN,müssen,müsstest
531,jetzt,ADV,ADV,jetzt,jetzt
532,eigentlich,ADV,ADV,eigentlich,eigentlich
533,so,ADV,ADV,so,so
534,auf,ADP,APPR,auf,auf
535,der,DET,ART,d,der
536,Mitte,NOUN,NN,Mitte,Mitte
537,der,DET,ART,d,der
538,Äpfel,NOUN,NN,Apfel,Äpfel
539,sein,AUX,VAINF,sein,sein
540,.,PUNCT,$.,.,.
541,_,UNK,--,--,_
542,Du,PRON,PPER,du,Du
543,müsstest,VERB,VMFIN,müssen,müsstest
544,praktisch,ADV,ADV,praktisch,praktisch
545,da,ADV,ADV,da,da
546,sein,AUX,VAINF,sein,sein
547,",",PUNCT,"$,",",",","
548,wo,ADV,PWAV,wo,wo
549,du,PRON,PPER,du,du
550,gerade,ADV,ADV,gerade,gerade
551,bist,AUX,VAFIN,sein,bist
552,.,PUNCT,$.,.,.
553,_,UNK,--,--,_
554,Der,DET,ART,d,Der
555,der,DET,ART,d,der
556,der,DET,ART,d,der
557,der,DET,ART,d,der
558,der,DET,ART,d,der
559,mittlere,ADJ,ADJA,mittler,mittlere
560,Apfel,NOUN,NN,Apfel,Apfel
561,wird,AUX,VAFIN,werden,wird
562,etwas,PRON,PIS,etwas,etwas
563,.,PUNCT,$.,.,.
564,_,UNK,--,--,_
565,Und,CONJ,KON,und,Und
566,du,PRON,PPER,du,du
567,.,PUNCT,$.,.,.
568,_,UNK,--,--,_
569,Genau,ADV,ADV,genau,Genau
570,.,PUNCT,$.,.,.
571,_,UNK,--,--,_
572,Etwas,PRON,PIS,etwas,Etwas
573,wird,AUX,VAFIN,werden,wird
574,genau,ADJ,ADJD,genau,genau
575,geschnitten,VERB,VVPP,schneiden,geschnitten
576,.,PUNCT,$.,.,.
577,_,UNK,--,--,_
578,Und,CONJ,KON,und,Und
579,du,PRON,PPER,du,du
580,gehst,VERB,VVFIN,gehen,gehst
581,jetzt,ADV,ADV,jetzt,jetzt
582,einfach,ADV,ADV,einfach,einfach
583,hoch,PART,PTKVZ,hoch,hoch
584,",",PUNCT,"$,",",",","
585,bis,SCONJ,KOUS,bis,bis
586,du,PRON,PPER,du,du
587,so,ADV,ADV,so,so
588,bei,ADP,APPR,bei,bei
589,mir,PRON,PPER,ich,mir
590,einen,DET,ART,ein,einen
591,Zeigefinger,NOUN,NN,Zeigefinger,Zeigefinger
592,unter,ADP,APPR,unter,unter
593,die,DET,ART,d,die
594,Äpfel,NOUN,NN,Apfel,Äpfel
595,unter,ADP,APPR,unter,unter
596,den,DET,ART,d,den
597,mittleren,ADJ,ADJA,mittler,mittleren
598,Apfel,NOUN,NN,Apfel,Apfel
599,ankommst,VERB,VVFIN,ankommen,ankommst
600,.,PUNCT,$.,.,.
601,_,UNK,--,--,_
602,Alles,PRON,PIS,alles,Alles
603,ist,AUX,VAFIN,sein,ist
604,klar,ADJ,ADJD,klar,klar
605,.,PUNCT,$.,.,.
606,_,UNK,--,--,_
607,Ja,PART,PTKANT,ja,Ja
608,.,PUNCT,$.,.,.
609,_,UNK,--,--,_
610,Auch,ADV,ADV,auch,Auch
611,diese,DET,PDAT,dies,diese
612,Linie,NOUN,NN,Linie,Linie
613,ist,AUX,VAFIN,sein,ist
614,nicht,PART,PTKNEG,nicht,nicht
615,gerade,ADV,ADV,gerade,gerade
616,gerader,ADJ,ADJD,gerade,gerader
617,geworden,AUX,VAPP,werden,geworden
618,.,PUNCT,$.,.,.
619,_,UNK,--,--,_
620,Okay,ADV,ADV,okay,Okay
621,.,PUNCT,$.,.,.
622,_,UNK,--,--,_
623,Dann,ADV,ADV,dann,Dann
624,gehst,VERB,VVFIN,gehen,gehst
625,du,PRON,PPER,du,du
626,jetzt,ADV,ADV,jetzt,jetzt
627,ein,DET,ART,ein,ein
628,bisschen,PRON,PIS,bisschen,bisschen
629,nach,ADP,APPR,nach,nach
630,links,ADV,ADV,links,links
631,.,PUNCT,$.,.,.
632,_,UNK,--,--,_
633,Vielleicht,ADV,ADV,vielleicht,Vielleicht
634,gehst,VERB,VVFIN,gehen,gehst
635,du,PRON,PPER,du,du
636,so,ADV,ADV,so,so
637,fünf,NUM,CARD,fünf,fünf
638,Zentimeter,NOUN,NN,Zentimeter,Zentimeter
639,nach,ADP,APPR,nach,nach
640,links,ADV,ADV,links,links
641,.,PUNCT,$.,.,.
642,_,UNK,--,--,_
643,Und,CONJ,KON,und,Und
644,dann,ADV,ADV,dann,dann
645,verharrst,VERB,VVFIN,verharren,verharrst
646,du,PRON,PPER,du,du
647,erstmal,ADV,ADV,erstmal,erstmal
648,an,ADP,APPR,an,an
649,diesem,DET,PDAT,dies,diesem
650,Punkt,NOUN,NN,Punkt,Punkt
651,.,PUNCT,$.,.,.
652,_,UNK,--,--,_
653,Nein,PART,PTKANT,nein,Nein
654,.,PUNCT,$.,.,.
655,_,UNK,--,--,_
656,Dann,ADV,ADV,dann,Dann
657,.,PUNCT,$.,.,.
658,_,UNK,--,--,_
659,Ja,PART,PTKANT,ja,Ja
660,.,PUNCT,$.,.,.
661,_,UNK,--,--,_
662,Doch,PART,PTKANT,doch,Doch
663,.,PUNCT,$.,.,.
664,_,UNK,--,--,_
665,Du,PRON,PPER,du,Du
666,verharrst,VERB,VVFIN,verharren,verharrst
667,erstmal,ADV,ADV,erstmal,erstmal
668,an,ADP,APPR,an,an
669,dem,PRON,PDS,d,dem
670,.,PUNCT,$.,.,.
671,_,UNK,--,--,_
672,Okay,ADV,ADV,okay,Okay
673,.,PUNCT,$.,.,.
674,_,UNK,--,--,_
675,Und,CONJ,KON,und,Und
676,dann,ADV,ADV,dann,dann
677,führst,VERB,VVFIN,führen,führst
678,du,PRON,PPER,du,du
679,jetzt,ADV,ADV,jetzt,jetzt
680,die,DET,ART,d,die
681,Linie,NOUN,NN,Linie,Linie
682,weiter,PART,PTKVZ,weiter,weiter
683,.,PUNCT,$.,.,.
684,_,UNK,--,--,_
685,Und,CONJ,KON,und,Und
686,du,PRON,PPER,du,du
687,machst,VERB,VVFIN,machen,machst
688,aber,ADV,ADV,aber,aber
689,einen,DET,ART,ein,einen
690,Kreis,NOUN,NN,Kreis,Kreis
691,.,PUNCT,$.,.,.
692,_,UNK,--,--,_
693,Hast,AUX,VAFIN,haben,Hast
694,du,PRON,PPER,du,du
695,da,ADV,ADV,da,da
696,so,ADV,ADV,so,so
697,ein,DET,ART,ein,ein
698,Männchen,NOUN,NN,Männchen,Männchen
699,?,PUNCT,$.,?,?
700,_,UNK,--,--,_
701,Das,PRON,PDS,d,Das
702,ist,AUX,VAFIN,sein,ist
703,ein,DET,ART,ein,ein
704,kleiner,ADJ,ADJA,klein,kleiner
705,Chirurg,NOUN,NN,Chirurg,Chirurg
706,mit,ADP,APPR,mit,mit
707,.,PUNCT,$.,.,.
708,_,UNK,--,--,_
709,Genau,ADV,ADV,genau,Genau
710,.,PUNCT,$.,.,.
711,_,UNK,--,--,_
712,Ach,INTJ,ITJ,ach,Ach
713,",",PUNCT,"$,",",",","
714,du,PRON,PPER,du,du
715,Scheiße,NOUN,NN,Scheiße,Scheiße
716,.,PUNCT,$.,.,.
717,_,UNK,--,--,_
718,Das,PRON,PDS,d,Das
719,ist,AUX,VAFIN,sein,ist
720,so,ADV,ADV,so,so
721,ein,DET,ART,ein,ein
722,gescheiterter,ADJ,ADJA,gescheitert,gescheiterter
723,Metzgergeselle,NOUN,NN,Metzgergeselle,Metzgergeselle
724,.,PUNCT,$.,.,.
725,_,UNK,--,--,_
726,Ey,INTJ,ITJ,ey,Ey
727,",",PUNCT,"$,",",",","
728,verdammte,ADJ,ADJA,verdammt,verdammte
729,.,PUNCT,$.,.,.
730,_,UNK,--,--,_
